digits,count,y,x,alpha
0000,4,0,0,0
0001,3154,0,1,2583
0002,936,0,2,365
0003,962,0,3,391
0004,658,0,4,87
0005,927,0,5,356
0006,715,0,6,144
0007,1535,0,7,964
0008,986,0,8,415
0009,729,0,9,158
0010,1890,0,10,1319
0011,1596,0,11,1025
0012,1257,0,12,686
0013,1551,0,13,980
0014,1174,0,14,603
0015,1287,0,15,716
0016,1133,0,16,562
0017,1343,0,17,772
0018,1244,0,18,673
0019,1201,0,19,630
0020,1646,0,20,1075
0021,1448,0,21,877
0022,1555,0,22,984
0023,1214,0,23,643
0024,1091,0,24,520
0025,1235,0,25,664
0026,1111,0,26,540
0027,1253,0,27,682
0028,1176,0,28,605
0029,1046,0,29,475
0030,1466,0,30,895
0031,1133,0,31,562
0032,1183,0,32,612
0033,1497,0,33,926
0034,1111,0,34,540
0035,1188,0,35,617
0036,992,0,36,421
0037,1149,0,37,578
0038,1173,0,38,602
0039,1069,0,39,498
0040,1444,0,40,873
0041,1106,0,41,535
0042,1062,0,42,491
0043,1064,0,43,493
0044,1508,0,44,937
0045,1294,0,45,723
0046,964,0,46,393
0047,1108,0,47,537
0048,1105,0,48,534
0049,1032,0,49,461
0050,1663,0,50,1092
0051,1195,0,51,624
0052,1138,0,52,567
0053,1065,0,53,494
0054,1090,0,54,519
0055,1652,0,55,1081
0056,1013,0,56,442
0057,1089,0,57,518
0058,1126,0,58,555
0059,1093,0,59,522
0060,1315,0,60,744
0061,1021,0,61,450
0062,900,0,62,329
0063,980,0,63,409
0064,926,0,64,355
0065,1105,0,65,534
0066,1061,0,66,490
0067,1047,0,67,476
0068,953,0,68,382
0069,1059,0,69,488
0070,1911,0,70,1340
0071,1215,0,71,644
0072,1152,0,72,581
0073,1174,0,73,603
0074,1095,0,74,524
0075,1264,0,75,693
0076,1026,0,76,455
0077,1926,0,77,1355
0078,1249,0,78,678
0079,1088,0,79,517
0080,1685,0,80,1114
0081,1154,0,81,583
0082,1095,0,82,524
0083,1086,0,83,515
0084,1082,0,84,511
0085,1158,0,85,587
0086,1025,0,86,454
0087,1189,0,87,618
0088,1713,0,88,1142
0089,1118,0,89,547
0090,1479,0,90,908
0091,1106,0,91,535
0092,1037,0,92,466
0093,1046,0,93,475
0094,1003,0,94,432
0095,1230,0,95,659
0096,1027,0,96,456
0097,1061,0,97,490
0098,1128,0,98,557
0099,1540,0,99,969
0100,2245,1,0,1674
0101,1689,1,1,1118
0102,1105,1,2,534
0103,854,1,3,283
0104,861,1,4,290
0105,874,1,5,303
0106,739,1,6,168
0107,929,1,7,358
0108,784,1,8,213
0109,801,1,9,230
0110,1443,1,10,872
0111,1681,1,11,1110
0112,766,1,12,195
0113,637,1,13,66
0114,686,1,14,115
0115,767,1,15,196
0116,669,1,16,98
0117,752,1,17,181
0118,735,1,18,164
0119,688,1,19,117
0120,882,1,20,311
0121,793,1,21,222
0122,768,1,22,197
0123,1079,1,23,508
0124,750,1,24,179
0125,686,1,25,115
0126,608,1,26,37
0127,709,1,27,138
0128,666,1,28,95
0129,659,1,29,88
0130,871,1,30,300
0131,767,1,31,196
0132,688,1,32,117
0133,803,1,33,232
0134,654,1,34,83
0135,658,1,35,87
0136,648,1,36,77
0137,690,1,37,119
0138,694,1,38,123
0139,641,1,39,70
0140,799,1,40,228
0141,750,1,41,179
0142,630,1,42,59
0143,623,1,43,52
0144,758,1,44,187
0145,618,1,45,47
0146,654,1,46,83
0147,707,1,47,136
0148,652,1,48,81
0149,683,1,49,112
0150,857,1,50,286
0151,729,1,51,158
0152,614,1,52,43
0153,645,1,53,74
0154,659,1,54,88
0155,832,1,55,261
0156,624,1,56,53
0157,666,1,57,95
0158,660,1,58,89
0159,666,1,59,95
0160,714,1,60,143
0161,699,1,61,128
0162,630,1,62,59
0163,647,1,63,76
0164,640,1,64,69
0165,618,1,65,47
0166,619,1,66,48
0167,657,1,67,86
0168,624,1,68,53
0169,653,1,69,82
0170,900,1,70,329
0171,799,1,71,228
0172,667,1,72,96
0173,735,1,73,164
0174,635,1,74,64
0175,685,1,75,114
0176,588,1,76,17
0177,920,1,77,349
0178,705,1,78,134
0179,640,1,79,69
0180,773,1,80,202
0181,744,1,81,173
0182,663,1,82,92
0183,640,1,83,69
0184,634,1,84,63
0185,647,1,85,76
0186,662,1,86,91
0187,685,1,87,114
0188,798,1,88,227
0189,639,1,89,68
0190,774,1,90,203
0191,718,1,91,147
0192,602,1,92,31
0193,649,1,93,78
0194,631,1,94,60
0195,659,1,95,88
0196,645,1,96,74
0197,675,1,97,104
0198,625,1,98,54
0199,802,1,99,231
0200,1595,2,0,1024
0201,981,2,1,410
0202,1399,2,2,828
0203,943,2,3,372
0204,806,2,4,235
0205,799,2,5,228
0206,692,2,6,121
0207,860,2,7,289
0208,819,2,8,248
0209,744,2,9,173
0210,897,2,10,326
0211,764,2,11,193
0212,789,2,12,218
0213,637,2,13,66
0214,616,2,14,45
0215,632,2,15,61
0216,605,2,16,34
0217,670,2,17,99
0218,642,2,18,71
0219,641,2,19,70
0220,1231,2,20,660
0221,733,2,21,162
0222,1300,2,22,729
0223,662,2,23,91
0224,673,2,24,102
0225,690,2,25,119
0226,613,2,26,42
0227,669,2,27,98
0228,674,2,28,103
0229,696,2,29,125
0230,787,2,30,216
0231,626,2,31,55
0232,680,2,32,109
0233,676,2,33,105
0234,689,2,34,118
0235,639,2,35,68
0236,583,2,36,12
0237,636,2,37,65
0238,618,2,38,47
0239,589,2,39,18
0240,739,2,40,168
0241,623,2,41,52
0242,668,2,42,97
0243,611,2,43,40
0244,669,2,44,98
0245,648,2,45,77
0246,617,2,46,46
0247,637,2,47,66
0248,629,2,48,58
0249,643,2,49,72
0250,773,2,50,202
0251,616,2,51,45
0252,692,2,52,121
0253,618,2,53,47
0254,636,2,54,65
0255,709,2,55,138
0256,626,2,56,55
0257,636,2,57,65
0258,623,2,58,52
0259,627,2,59,56
0260,709,2,60,138
0261,616,2,61,45
0262,638,2,62,67
0263,636,2,63,65
0264,583,2,64,12
0265,604,2,65,33
0266,593,2,66,22
0267,600,2,67,29
0268,600,2,68,29
0269,623,2,69,52
0270,807,2,70,236
0271,664,2,71,93
0272,696,2,72,125
0273,613,2,73,42
0274,643,2,74,72
0275,672,2,75,101
0276,578,2,76,7
0277,795,2,77,224
0278,608,2,78,37
0279,641,2,79,70
0280,777,2,80,206
0281,640,2,81,69
0282,743,2,82,172
0283,619,2,83,48
0284,643,2,84,72
0285,603,2,85,32
0286,589,2,86,18
0287,640,2,87,69
0288,745,2,88,174
0289,605,2,89,34
0290,721,2,90,150
0291,630,2,91,59
0292,683,2,92,112
0293,603,2,93,32
0294,615,2,94,44
0295,653,2,95,82
0296,617,2,96,46
0297,649,2,97,78
0298,646,2,98,75
0299,685,2,99,114
0300,1401,3,0,830
0301,755,3,1,184
0302,823,3,2,252
0303,1308,3,3,737
0304,814,3,4,243
0305,809,3,5,238
0306,692,3,6,121
0307,783,3,7,212
0308,709,3,8,138
0309,776,3,9,205
0310,761,3,10,190
0311,703,3,11,132
0312,664,3,12,93
0313,681,3,13,110
0314,649,3,14,78
0315,649,3,15,78
0316,658,3,16,87
0317,685,3,17,114
0318,614,3,18,43
0319,616,3,19,45
0320,725,3,20,154
0321,633,3,21,62
0322,690,3,22,119
0323,709,3,23,138
0324,613,3,24,42
0325,638,3,25,67
0326,591,3,26,20
0327,614,3,27,43
0328,603,3,28,32
0329,611,3,29,40
0330,1238,3,30,667
0331,683,3,31,112
0332,659,3,32,88
0333,1374,3,33,803
0334,617,3,34,46
0335,678,3,35,107
0336,610,3,36,39
0337,653,3,37,82
0338,666,3,38,95
0339,681,3,39,110
0340,739,3,40,168
0341,593,3,41,22
0342,602,3,42,31
0343,689,3,43,118
0344,671,3,44,100
0345,686,3,45,115
0346,605,3,46,34
0347,622,3,47,51
0348,587,3,48,16
0349,595,3,49,24
0350,778,3,50,207
0351,641,3,51,70
0352,615,3,52,44
0353,690,3,53,119
0354,626,3,54,55
0355,697,3,55,126
0356,577,3,56,6
0357,654,3,57,83
0358,648,3,58,77
0359,635,3,59,64
0360,655,3,60,84
0361,564,3,61,0
0362,593,3,62,22
0363,630,3,63,59
0364,602,3,64,31
0365,619,3,65,48
0366,580,3,66,9
0367,567,3,67,0
0368,570,3,68,0
0369,584,3,69,13
0370,758,3,70,187
0371,638,3,71,67
0372,642,3,72,71
0373,713,3,73,142
0374,690,3,74,119
0375,672,3,75,101
0376,568,3,76,0
0377,799,3,77,228
0378,588,3,78,17
0379,622,3,79,51
0380,708,3,80,137
0381,598,3,81,27
0382,608,3,82,37
0383,715,3,83,144
0384,616,3,84,45
0385,657,3,85,86
0386,598,3,86,27
0387,626,3,87,55
0388,731,3,88,160
0389,593,3,89,22
0390,656,3,90,85
0391,631,3,91,60
0392,586,3,92,15
0393,689,3,93,118
0394,573,3,94,2
0395,602,3,95,31
0396,595,3,96,24
0397,653,3,97,82
0398,609,3,98,38
0399,700,3,99,129
0400,1498,4,0,927
0401,770,4,1,199
0402,752,4,2,181
0403,771,4,3,200
0404,1182,4,4,611
0405,798,4,5,227
0406,636,4,6,65
0407,725,4,7,154
0408,713,4,8,142
0409,660,4,9,89
0410,713,4,10,142
0411,672,4,11,101
0412,648,4,12,77
0413,546,4,13,0
0414,736,4,14,165
0415,629,4,15,58
0416,562,4,16,0
0417,633,4,17,62
0418,654,4,18,83
0419,594,4,19,23
0420,741,4,20,170
0421,633,4,21,62
0422,684,4,22,113
0423,620,4,23,49
0424,676,4,24,105
0425,609,4,25,38
0426,606,4,26,35
0427,605,4,27,34
0428,612,4,28,41
0429,614,4,29,43
0430,725,4,30,154
0431,614,4,31,43
0432,636,4,32,65
0433,700,4,33,129
0434,656,4,34,85
0435,607,4,35,36
0436,551,4,36,0
0437,609,4,37,38
0438,603,4,38,32
0439,612,4,39,41
0440,1265,4,40,694
0441,658,4,41,87
0442,640,4,42,69
0443,652,4,43,81
0444,1404,4,44,833
0445,671,4,45,100
0446,594,4,46,23
0447,678,4,47,107
0448,668,4,48,97
0449,622,4,49,51
0450,760,4,50,189
0451,589,4,51,18
0452,613,4,52,42
0453,625,4,53,54
0454,678,4,54,107
0455,703,4,55,132
0456,607,4,56,36
0457,601,4,57,30
0458,624,4,58,53
0459,628,4,59,57
0460,644,4,60,73
0461,589,4,61,18
0462,607,4,62,36
0463,585,4,63,14
0464,642,4,64,71
0465,557,4,65,0
0466,580,4,66,9
0467,599,4,67,28
0468,599,4,68,28
0469,592,4,69,21
0470,714,4,70,143
0471,604,4,71,33
0472,561,4,72,0
0473,602,4,73,31
0474,689,4,74,118
0475,619,4,75,48
0476,603,4,76,32
0477,755,4,77,184
0478,618,4,78,47
0479,585,4,79,14
0480,686,4,80,115
0481,565,4,81,0
0482,641,4,82,70
0483,598,4,83,27
0484,650,4,84,79
0485,612,4,85,41
0486,563,4,86,0
0487,642,4,87,71
0488,719,4,88,148
0489,605,4,89,34
0490,641,4,90,70
0491,580,4,91,9
0492,600,4,92,29
0493,603,4,93,32
0494,651,4,94,80
0495,598,4,95,27
0496,596,4,96,25
0497,588,4,97,17
0498,622,4,98,51
0499,676,4,99,105
0500,1585,5,0,1014
0501,826,5,1,255
0502,742,5,2,171
0503,763,5,3,192
0504,794,5,4,223
0505,1361,5,5,790
0506,771,5,6,200
0507,843,5,7,272
0508,724,5,8,153
0509,742,5,9,171
0510,755,5,10,184
0511,669,5,11,98
0512,693,5,12,122
0513,591,5,13,20
0514,632,5,14,61
0515,741,5,15,170
0516,593,5,16,22
0517,651,5,17,80
0518,621,5,18,50
0519,601,5,19,30
0520,752,5,20,181
0521,612,5,21,41
0522,645,5,22,74
0523,654,5,23,83
0524,611,5,24,40
0525,775,5,25,204
0526,592,5,26,21
0527,664,5,27,93
0528,639,5,28,68
